player,pos,salary,pred_perf
Kenneth Faried,PF,"$12,078,652 ",1550.2
Kent Bazemore,SG,"$15,730,338 ",867.0
Kentavious Caldwell-Pope,SG,"$3,678,319 ",1237.0
Kevin Durant,SF,"$26,540,100 ",2659.83333333
Kevin Garnett,PF,"$8,000,000 ",1310.33333333
Kevin Love,PF,"$21,165,675 ",2161.16666667
Kevin Martin,SG,"$1,360,305 ",1385.33333333
Kevin Seraphin,PF,"$1,800,000 ",628.666666667
Kevon Looney,PF,"$1,182,840 ",18.0
Khris Middleton,SG,"$15,200,000 ",1335.25
Klay Thompson,SG,"$16,663,575 ",1830.2
Kosta Koufos,C,"$8,046,500 ",910.833333333
Kris Humphries,PF,"$4,000,000 ",1212.5
Kristaps Porzingis,PF,"$4,317,720 ",1714.0
Kyle Anderson,SF,"$1,192,080 ",466.5
Kyle Korver,SG,"$5,239,437 ",1154.0
Kyle Lowry,PG,"$12,000,000 ",1868.83333333
Kyle O'Quinn,C,"$3,900,000 ",654.75
Kyle Singler,SF,"$4,837,500 ",1063.0
Kyrie Irving,PG,"$17,638,063 ",1768.8
LaMarcus Aldridge,PF,"$20,575,005 ",2334.5
Lamar Patterson,SG,"$102,898 ",161.0
Lamar Patterson,SG,"$100,000 ",161.0
Lamar Patterson,SG,"$25,725 ",161.0
Lance Stephenson,SG,"$1,227,286 ",1003.16666667
Lance Stephenson,SG,"$72,193 ",1003.16666667
Lance Thomas,PF,"$6,191,000 ",518.4
Langston Galloway,PG,"$5,200,000 ",1017.0
Larry Sanders,C,"$1,865,547 ",677.6
Lavoy Allen,PF,"$4,000,000 ",876.6
LeBron James,SF,"$30,963,450 ",2878.66666667
Leandro Barbosa,SG,"$4,000,000 ",764.666666667
Lou Amundson,PF,"$1,551,659 ",473.833333333
Lou Williams,SG,"$7,000,000 ",1213.33333333
Luc Mbah a Moute,PF,"$2,203,000 ",785.666666667
Lucas Nogueira,C,"$1,921,320 ",74.5
Luis Scola,PF,"$5,000,000 ",1471.0
Luke Babbitt,SF,"$1,227,000 ",330.166666667
Luol Deng,SF,"$18,000,000 ",1897.0
Manu Ginobili,SG,"$14,000,000 ",1198.33333333
Marc Gasol,C,"$21,165,675 ",1838.0
Marcelo Huertas,PG,"$1,500,000 ",462.0
Marcin Gortat,C,"$12,000,000 ",1999.0
Marco Belinelli,SG,"$6,333,333 ",1001.66666667
Marcus Morris,PF,"$4,625,000 ",1231.6
Marcus Smart,PG,"$3,578,880 ",1003.5
Marcus Thornton,SG,"$1,315,448 ",1610.33333333
Mario Hezonja,SF,"$3,909,840 ",722.0
Markieff Morris,PF,"$7,400,000 ",1614.6
Marreese Speights,C,"$1,403,611 ",1073.0
Martell Webster,SF,"$830,000 ",735.8
Marvin Williams,SF,"$12,250,000 ",1122.16666667
Mason Plumlee,C,"$2,328,530 ",1280.66666667
Matt Barnes,SF,"$6,125,000 ",1100.16666667
Matthew Dellavedova,SG,"$9,607,500 ",748.666666667
Maurice Harkless,SF,"$8,988,764 ",814.5
Metta World Peace,SF,"$1,551,659 ",820.8
Meyers Leonard,C,"$9,213,484 ",587.25
Michael Beasley,SF,"$1,403,611 ",838.0
Michael Beasley,SF,"$777,777 ",838.0
Michael Carter-Williams,PG,"$3,183,526 ",2139.0
Michael Kidd-Gilchrist,SF,"$13,000,000 ",845.5
Mike Conley,PG,"$26,540,100 ",1668.33333333
Mike Dunleavy,SG,"$4,837,500 ",1001.0
Mike Miller,SG,"$3,500,000 ",439.166666667
Mike Muscala,PF,"$1,015,696 ",283.333333333
Mike Scott,PF,"$3,333,334 ",728.5
Miles Plumlee,C,"$12,500,000 ",845.5
Miroslav Raduljica,C,"$300,000 ",158.0
Mirza Teletovic,PF,"$10,500,000 ",782.75
Mitch McGary,PF,"$1,526,040 ",212.0
Mo Williams,PG,"$2,200,000 ",1464.66666667
Monta Ellis,SG,"$10,770,000 ",2372.83333333
Montrezl Harrell,PF,"$1,000,000 ",227.0
Myles Turner,C,"$2,463,840 ",1036.0
Nate Wolters,PG,"$50,000 ",467.0
Nemanja Bjelica,PF,"$3,800,000 ",601.0
Nene Hilario,C,"$2,898,000 ",1361.0
Nerlens Noel,C,"$4,384,490 ",1541.5
Nick Collison,C,"$3,750,000 ",654.5
Nick Johnson,SG,"$980,431 ",115.0
Nick Young,SG,"$5,443,918 ",1141.83333333
Nicolas Batum,SF,"$20,869,566 ",1620.5
Nik Stauskas,SG,"$2,993,040 ",689.5
Nikola Jokic,C,"$1,358,500 ",1570.0
Nikola Mirotic,PF,"$5,782,450 ",1297.0
Nikola Pekovic,C,"$12,100,000 ",881.333333333
Nikola Vucevic,C,"$11,750,000 ",1693.0
Noah Vonleh,PF,"$2,751,360 ",398.0
Norman Powell,SG,"$874,636 ",438.0
Norris Cole,PG,"$247,991 ",975.4
Omer Asik,C,"$9,904,494 ",958.666666667
Omri Casspi,SF,"$3,000,000 ",849.166666667
Otto Porter,SF,"$5,893,981 ",780.666666667
P.J. Hairston,SG,"$11,534 ",813.5
P.J. Tucker,SG,"$5,300,000 ",1291.75
Pablo Prigioni,PG,"$1,050,961 ",703.75
Pat Connaughton,SG,"$874,636 ",70.0
Patrick Beverley,PG,"$6,000,000 ",909.0
Patrick Patterson,PF,"$6,050,000 ",1342.33333333
Patty Mills,PG,"$3,578,948 ",637.0
Pau Gasol,C,"$15,500,000 ",2112.5
Paul George,SG,"$18,314,532 ",1612.33333333
Paul Millsap,PF,"$20,072,033 ",2100.66666667
Paul Pierce,SF,"$3,500,000 ",1582.16666667
Phil Pressey,PG,"$35,000 ",419.333333333
Quincy Acy,PF,"$1,790,902 ",596.75
Quincy Acy,PF,"$1,050,961 ",596.75
Quincy Acy,PF,"$123,642 ",596.75
