player	pos	tm	season	perf	salary
Greg Monroe	C	['DET', 'DET', 'DET', 'DET', 'DET', 'MIL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1514, 1772, 2282, 2152, 1907, 2094]	$17,100,000 
Greivis Vasquez	SG	['MEM', 'NOH', 'NOH', 'TOT, SAC, TOR', 'TOR', 'MIL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[429, 1041, 1949, 2324, 1230, 238]	$4,347,826 
Harrison Barnes	SF	['GSW', 'GSW', 'GSW', 'GSW']	['2012-13', '2013-14', '2014-15', '2015-16']	[1144, 1166, 1405, 1210]	$22,116,750 
Hassan Whiteside	C	['SAC', 'SAC', 'MIA', 'MIA']	['2010-11', '2011-12', '2014-15', '2015-16']	[0, 81, 1144, 2111]	$22,116,750 
Henry Sims	C	['NOH', 'TOT, CLE, PHI', 'PHI', 'BRK']	['2012-13', '2013-14', '2014-15', '2015-16']	[5, 1292, 994, 183]	$75,000 
Hollis Thompson	SF	['PHI', 'PHI', 'PHI']	['2013-14', '2014-15', '2015-16']	[786, 926, 1113]	$442,126 
Hollis Thompson	SF	['PHI', 'PHI', 'PHI']	['2013-14', '2014-15', '2015-16']	[786, 926, 1113]	$59,747 
Ian Clark	SG	['UTA', 'TOT, UTA, DEN', 'GSW']	['2013-14', '2014-15', '2015-16']	[98, 176, 355]	$1,015,696 
Ian Mahinmi	C	['DAL', 'DAL', 'IND', 'IND', 'IND', 'IND']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[305, 674, 753, 608, 671, 1311]	$15,944,154 
Iman Shumpert	PG	['NYK', 'NYK', 'NYK', 'TOT, NYK, CLE', 'CLE']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[911, 529, 958, 1722, 622]	$9,700,000 
Isaiah Canaan	PG	['HOU', 'TOT, HOU, PHI', 'PHI']	['2013-14', '2014-15', '2015-16']	[138, 1174, 1134]	$1,015,696 
Isaiah Thomas	PG	['SAC', 'SAC', 'SAC', 'TOT, PHO, BOS', 'BOS']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1139, 1507, 2017, 2914, 2455]	$6,587,132 
Ish Smith	PG	['TOT, HOU, MEM', 'TOT, GSW, ORL', 'TOT, ORL, MIL', 'PHO', 'TOT, OKC, PHI', 'TOT, NOP, PHI']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[426, 304, 528, 566, 1164, 3432]	$6,000,000 
J.J. Barea	PG	['DAL', 'MIN', 'MIN', 'MIN', 'DAL', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1140, 727, 1222, 1018, 941, 1177]	$4,096,950 
J.J. Redick	SG	['ORL', 'ORL', 'TOT, ORL, MIL', 'LAC', 'LAC', 'LAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[787, 1030, 2952, 673, 1533, 1440]	$7,377,500 
J.R. Smith	SF	['DEN', 'NYK', 'NYK', 'NYK', 'TOT, NYK, CLE', 'CLE']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1474, 670, 2079, 1563, 2534, 1345]	$12,800,000 
JaMychal Green	PF	['TOT, SAS, MEM', 'MEM']	['2014-15', '2015-16']	[214, 1014]	$980,431 
JaVale McGee	C	['WAS', 'TOT, WAS, DEN', 'DEN', 'DEN', 'TOT, DEN, PHI', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1602, 2558, 1219, 54, 348, 318]	$1,403,611 
Jabari Parker	PF	['MIL', 'MIL']	['2014-15', '2015-16']	[477, 1577]	$5,374,320 
Jae Crowder	SF	['DAL', 'DAL', 'TOT, DAL, BOS', 'BOS']	['2012-13', '2013-14', '2014-15', '2015-16']	[704, 649, 2126, 1624]	$6,286,408 
Jahlil Okafor	C	['PHI']	['2015-16']	[1325]	$4,788,840 
Jamal Crawford	SG	['ATL', 'POR', 'LAC', 'LAC', 'LAC', 'LAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1374, 1104, 1522, 1599, 1273, 1399]	$13,253,012 
Jameer Nelson	PG	['ORL', 'ORL', 'ORL', 'ORL', 'TOT, DAL, BOS, DEN', 'DEN']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1563, 1090, 1367, 1418, 1732, 568]	$4,540,525 
James Ennis	SF	['MIA', 'TOT, MIA, MEM, NOP']	['2014-15', '2015-16']	[539, 448]	$2,898,000 
James Harden	SG	['OKC', 'OKC', 'HOU', 'HOU', 'HOU', 'HOU']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1439, 1465, 2742, 2520, 3134, 3305]	$26,540,100 
James Johnson	SF	['TOT, CHI, TOR', 'TOR', 'SAC', 'MEM', 'TOR', 'TOR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1016, 1034, 502, 694, 951, 488]	$4,000,000 
James Jones	SF	['MIA', 'MIA', 'MIA', 'MIA', 'CLE', 'CLE']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[705, 269, 100, 132, 344, 250]	$1,551,659 
James Michael McAdoo	PF	['GSW', 'GSW']	['2014-15', '2015-16']	[109, 194]	$980,431 
James Young	SG	['BOS', 'BOS']	['2014-15', '2015-16']	[165, 66]	$1,825,200 
Jared Dudley	SF	['PHO', 'PHO', 'PHO', 'LAC', 'MIL', 'WAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1323, 1232, 1291, 770, 889, 1107]	$10,470,000 
Jared Sullinger	PF	['BOS', 'BOS', 'BOS', 'BOS']	['2012-13', '2013-14', '2014-15', '2015-16']	[584, 1666, 1353, 1714]	$5,628,000 
Jarell Eddie	SF	['WAS']	['2015-16']	[96]	$175,000 
Jarell Martin	PF	['MEM']	['2015-16']	[250]	$1,286,160 
Jarnell Stokes	PF	['MEM', 'TOT, MEM, MIA']	['2014-15', '2015-16']	[98, 26]	$150,000 
Jarrett Jack	SG-PG	['TOT, TOR, NOH', 'NOH', 'GSW', 'CLE', 'BRK', 'BRK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2200, 1095, 1619, 1252, 1472, 730]	$1,551,659 
Jarrett Jack	SG-PG	['TOT, TOR, NOH', 'NOH', 'GSW', 'CLE', 'BRK', 'BRK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2200, 1095, 1619, 1252, 1472, 730]	$500,000 
Jarrett Jack	SG-PG	['TOT, TOR, NOH', 'NOH', 'GSW', 'CLE', 'BRK', 'BRK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2200, 1095, 1619, 1252, 1472, 730]	$91,274 
Jason Smith	C	['NOH', 'NOH', 'NOH', 'NOP', 'NYK', 'ORL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[613, 648, 645, 523, 1092, 868]	$5,000,000 
Jason Terry	SG	['DAL', 'DAL', 'BOS', 'BRK', 'HOU', 'HOU']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1719, 1282, 1131, 238, 820, 611]	$1,551,659 
Jason Thompson	PF	['SAC', 'SAC', 'SAC', 'SAC', 'SAC', 'TOT, GSW, TOR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1178, 1124, 1532, 1159, 1112, 654]	$945,126 
Jeff Green	PF-SF	['TOT, OKC, BOS', 'BOS', 'BOS', 'TOT, BOS, MEM', 'TOT, MEM, LAC']	['2010-11', '2012-13', '2013-14', '2014-15', '2015-16']	[2914, 1474, 1839, 3218, 2828]	$15,000,000 
Jeff Teague	PG	['ATL', 'ATL', 'ATL', 'ATL', 'ATL', 'ATL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[607, 1320, 1840, 1914, 1810, 1826]	$8,800,000 
Jeff Withey	C	['NOP', 'NOP', 'UTA']	['2013-14', '2014-15', '2015-16']	[411, 183, 456]	$1,015,696 
Jerami Grant	SF	['PHI', 'PHI']	['2014-15', '2015-16']	[711, 1316]	$980,431 
Jeremy Evans	SF	['UTA', 'UTA', 'UTA', 'UTA', 'UTA', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[314, 150, 157, 803, 192, 135]	$1,227,286 
Jeremy Lamb	SF	['OKC', 'OKC', 'OKC', 'CHO']	['2012-13', '2013-14', '2014-15', '2015-16']	[92, 990, 446, 931]	$6,511,628 
Jeremy Lin	PG	['GSW', 'NYK', 'HOU', 'HOU', 'LAL', 'CHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[176, 773, 1766, 1290, 1315, 1352]	$11,483,254 
Jerian Grant	PG	['NYK']	['2015-16']	[719]	$1,643,040 
Jerryd Bayless	PG	['TOT, NOH, TOR', 'TOR', 'MEM', 'TOT, MEM, BOS', 'MIL', 'MIL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1996, 512, 1089, 1984, 980, 830]	$9,424,084 
Jimmy Butler	SG	['CHI', 'CHI', 'CHI', 'CHI', 'CHI']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[181, 1195, 1444, 1949, 2099]	$17,552,209 
Joakim Noah	C	['CHI', 'CHI', 'CHI', 'CHI', 'CHI', 'CHI']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1196, 1482, 1822, 2364, 1442, 484]	$17,000,000 
Jodie Meeks	SG	['PHI', 'PHI', 'LAL', 'LAL', 'DET', 'DET']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1030, 785, 869, 1545, 854, 29]	$6,540,000 
Joe Harris	SG	['CLE', 'CLE']	['2014-15', '2015-16']	[185, 7]	$980,431 
Joe Ingles	SF	['UTA', 'UTA']	['2014-15', '2015-16']	[737, 583]	$2,250,000 
Joe Johnson	SG	['ATL', 'ATL', 'BRK', 'BRK', 'BRK', 'TOT, BRK, MIA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1849, 1527, 1581, 1668, 1766, 3016]	$11,000,000 
Joe Young	PG	['IND']	['2015-16']	[251]	$1,052,342 
Joel Anthony	C	['MIA', 'MIA', 'MIA', 'TOT, MIA, BOS', 'DET', 'DET']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[510, 553, 248, 160, 234, 52]	$497,858 
Joel Anthony	C	['MIA', 'MIA', 'MIA', 'TOT, MIA, BOS', 'DET', 'DET']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[510, 553, 248, 160, 234, 52]	$165,952 
Joffrey Lauvergne	C	['DEN', 'DEN']	['2014-15', '2015-16']	[179, 785]	$1,709,720 
John Henson	PF	['MIL', 'MIL', 'MIL', 'MIL']	['2012-13', '2013-14', '2014-15', '2015-16']	[722, 1432, 917, 735]	$12,517,606 
John Jenkins	SG	['ATL', 'ATL', 'ATL', 'TOT, DAL, PHO']	['2012-13', '2013-14', '2014-15', '2015-16']	[506, 64, 189, 504]	$469,841 
John Lucas III	PG	['CHI', 'CHI', 'TOR', 'UTA', 'DET']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15']	[3, 531, 501, 232, 166]	$635,753 
John Wall	PG	['WAS', 'WAS', 'WAS', 'WAS', 'WAS', 'WAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1917, 1803, 1420, 2531, 2424, 2585]	$16,957,900 
Johnny O'Bryant	PF	['MIL', 'MIL']	['2014-15', '2015-16']	[165, 403]	$115,344 
Johnny O'Bryant	PF	['MIL', 'MIL']	['2014-15', '2015-16']	[165, 403]	$57,672 
Jon Leuer	PF	['MIL', 'TOT, CLE, MEM', 'MEM', 'MEM', 'PHO']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[376, 198, 484, 530, 1005]	$10,991,957 
Jonas Jerebko	PF	['DET', 'DET', 'DET', 'TOT, DET, BOS', 'BOS']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[903, 609, 468, 1642, 682]	$5,000,000 
Jonas Valanciunas	C	['TOR', 'TOR', 'TOR', 'TOR']	['2012-13', '2013-14', '2014-15', '2015-16']	[972, 1646, 1714, 1377]	$14,382,022 
Jonathon Simmons	SG	['SAS']	['2015-16']	[461]	$874,636 
Jordan Adams	SG	['MEM', 'MEM']	['2014-15', '2015-16']	[147, 13]	$1,465,080 
Jordan Clarkson	PG	['LAL', 'LAL']	['2014-15', '2015-16']	[1067, 1690]	$12,500,000 
Jordan Farmar	PG	['NJN', 'NJN', 'LAL', 'LAC', 'MEM']	['2010-11', '2011-12', '2013-14', '2014-15', '2015-16']	[1171, 554, 670, 269, 171]	$510,921 
Jordan Farmar	PG	['NJN', 'NJN', 'LAL', 'LAC', 'MEM']	['2010-11', '2011-12', '2013-14', '2014-15', '2015-16']	[1171, 554, 670, 269, 171]	$66,384 
Jordan Farmar	PG	['NJN', 'NJN', 'LAL', 'LAC', 'MEM']	['2010-11', '2011-12', '2013-14', '2014-15', '2015-16']	[1171, 554, 670, 269, 171]	$16,595 
Jordan Hill	C	['HOU', 'TOT, HOU, LAL', 'LAL', 'LAL', 'LAL', 'IND']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[745, 812, 374, 1303, 1480, 1164]	$3,911,380 
Jordan McRae	PG	['TOT, PHO, CLE']	['2015-16']	[266]	$874,636 
Jordan Mickey	PF	['BOS']	['2015-16']	[45]	$1,223,653 
Jose Calderon	PG	['TOR', 'TOR', 'TOT, TOR, DET', 'DAL', 'NYK', 'NYK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1416, 1129, 2920, 1471, 660, 1054]	$7,708,427 
Jose Calderon	PG	['TOR', 'TOR', 'TOT, TOR, DET', 'DAL', 'NYK', 'NYK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1416, 1129, 2920, 1471, 660, 1054]	$247,991 
Josh Huestis	PF	['OKC']	['2015-16']	[24]	$1,191,480 
Josh McRoberts	PF	['IND', 'LAL', 'TOT, ORL, CHA', 'CHA', 'MIA', 'MIA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1076, 362, 1720, 1388, 143, 331]	$5,782,450 
Josh Richardson	SG	['MIA']	['2015-16']	[547]	$874,636 
Josh Smith	PF	['ATL', 'ATL', 'ATL', 'DET', 'TOT, DET, HOU', 'TOT, LAC, HOU']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2208, 2172, 2291, 2052, 3662, 1236]	$5,400,000 
Jrue Holiday	PG	['PHI', 'PHI', 'PHI', 'NOP', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1939, 1367, 2200, 860, 996, 1618]	$11,286,518 
Julius Randle	PF	['LAL', 'LAL']	['2014-15', '2015-16']	[1, 1825]	$3,267,120 
Julyan Stone	SG	['DEN', 'DEN', 'TOR']	['2011-12', '2012-13', '2013-14']	[101, 11, 48]	$50,000 
Justin Anderson	SF	['DAL']	['2015-16']	[389]	$1,514,160 
Justin Hamilton	C	['TOT, CHA, MIA', 'TOT, MIA, MIN']	['2013-14', '2014-15']	[68, 840]	$3,000,000 
Justin Holiday	SG	['PHI', 'GSW', 'TOT, ATL, CHI']	['2012-13', '2014-15', '2015-16']	[71, 398, 794]	$1,015,696 
Justise Winslow	SF	['MIA']	['2015-16']	[1021]	$2,593,440 
Jusuf Nurkic	C	['DEN', 'DEN']	['2014-15', '2015-16']	[892, 491]	$1,921,320 
K.J. McDaniels	SG	['TOT, PHI, HOU', 'HOU']	['2014-15', '2015-16']	[1536, 137]	$3,333,333 
Karl-Anthony Towns	C	['MIN']	['2015-16']	[2535]	$5,960,160 
Kawhi Leonard	SF	['SAS', 'SAS', 'SAS', 'SAS', 'SAS']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[969, 1195, 1473, 1778, 2296]	$17,638,063 
Keith Benson	C	['GSW']	['2011-12']	[3]	$75,000 
Kelly Olynyk	C	['BOS', 'BOS', 'BOS']	['2013-14', '2014-15', '2015-16']	[1037, 1073, 1084]	$3,094,014 
Kelly Oubre	SF	['WAS']	['2015-16']	[377]	$2,006,640 
Kemba Walker	PG	['CHA', 'CHA', 'CHA', 'CHO', 'CHO']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1283, 2200, 1991, 1633, 2461]	$12,000,000 
Kenneth Faried	PF	['DEN', 'DEN', 'DEN', 'DEN', 'DEN']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[886, 1785, 1880, 1704, 1496]	$12,078,652 
Kent Bazemore	SG	['GSW', 'TOT, GSW, LAL', 'ATL', 'ATL']	['2012-13', '2013-14', '2014-15', '2015-16']	[170, 1176, 702, 1420]	$15,730,338 
Kentavious Caldwell-Pope	SG	['DET', 'DET', 'DET']	['2013-14', '2014-15', '2015-16']	[740, 1424, 1547]	$3,678,319 
Kevin Durant	SF	['OKC', 'OKC', 'OKC', 'OKC', 'OKC', 'OKC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2854, 2525, 3235, 3513, 949, 2883]	$26,540,100 
Kevin Garnett	PF	['BOS', 'BOS', 'BOS', 'BRK', 'TOT, BRK, MIN', 'MIN']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1895, 1626, 1723, 806, 1456, 356]	$8,000,000 
Kevin Love	PF	['MIN', 'MIN', 'MIN', 'MIN', 'CLE', 'CLE']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2690, 2224, 607, 3212, 2095, 2139]	$21,165,675 
Kevin Martin	SG	['HOU', 'HOU', 'OKC', 'MIN', 'MIN', 'TOT, MIN, SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2243, 859, 1340, 1588, 968, 1314]	$1,360,305 
Kevin Seraphin	PF	['WAS', 'WAS', 'WAS', 'WAS', 'WAS', 'NYK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[319, 795, 1077, 382, 838, 361]	$1,800,000 
Kevon Looney	PF	['GSW']	['2015-16']	[18]	$1,182,840 
Khris Middleton	SG	['DET', 'MIL', 'MIL', 'MIL']	['2012-13', '2013-14', '2014-15', '2015-16']	[251, 1449, 1604, 2037]	$15,200,000 
Klay Thompson	SG	['GSW', 'GSW', 'GSW', 'GSW', 'GSW']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1086, 1822, 1894, 2135, 2214]	$16,663,575 
Kosta Koufos	C	['TOT, MIN, DEN', 'DEN', 'DEN', 'MEM', 'MEM', 'SAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[602, 568, 1336, 1007, 905, 1047]	$8,046,500 
Kris Humphries	PF	['NJN', 'NJN', 'BRK', 'BOS', 'WAS', 'TOT, WAS, PHO, ATL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1606, 1631, 764, 1083, 995, 1196]	$4,000,000 
Kristaps Porzingis	PF	['NYK']	['2015-16']	[1714]	$4,317,720 
Kyle Anderson	SF	['SAS', 'SAS']	['2014-15', '2015-16']	[186, 747]	$1,192,080 
Kyle Korver	SG	['CHI', 'CHI', 'ATL', 'ATL', 'ATL', 'ATL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[950, 798, 1286, 1332, 1398, 1160]	$5,239,437 
Kyle Lowry	PG	['HOU', 'HOU', 'TOR', 'TOR', 'TOR', 'TOR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1787, 1150, 1508, 2314, 1994, 2460]	$12,000,000 
Kyle O'Quinn	C	['ORL', 'ORL', 'ORL', 'NYK']	['2012-13', '2013-14', '2014-15', '2015-16']	[493, 920, 567, 639]	$3,900,000 
Kyle Singler	SF	['DET', 'DET', 'TOT, DET, OKC', 'OKC']	['2012-13', '2013-14', '2014-15', '2015-16']	[1123, 1182, 1544, 403]	$4,837,500 
Kyrie Irving	PG	['CLE', 'CLE', 'CLE', 'CLE', 'CLE']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1324, 1810, 2111, 2202, 1397]	$17,638,063 
LaMarcus Aldridge	PF	['POR', 'POR', 'POR', 'POR', 'POR', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2671, 1752, 2432, 2554, 2505, 2093]	$20,575,005 
Lamar Patterson	SG	['ATL']	['2015-16']	[161]	$102,898 
Lamar Patterson	SG	['ATL']	['2015-16']	[161]	$100,000 
Lamar Patterson	SG	['ATL']	['2015-16']	[161]	$25,725 
Lance Stephenson	SG	['IND', 'IND', 'IND', 'IND', 'CHO', 'TOT, LAC, MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[64, 195, 1202, 1848, 936, 1774]	$1,227,286 
Lance Stephenson	SG	['IND', 'IND', 'IND', 'IND', 'CHO', 'TOT, LAC, MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[64, 195, 1202, 1848, 936, 1774]	$72,193 
Lance Thomas	PF	['NOH', 'NOH', 'NOP', 'TOT, OKC, NYK', 'NYK']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[297, 285, 14, 1356, 640]	$6,191,000 
Langston Galloway	PG	['NYK', 'NYK']	['2014-15', '2015-16']	[876, 1158]	$5,200,000 
Larry Sanders	C	['MIL', 'MIL', 'MIL', 'MIL', 'MIL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15']	[510, 444, 1618, 394, 422]	$1,865,547 
Lavoy Allen	PF	['PHI', 'PHI', 'TOT, PHI, IND', 'IND', 'IND']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[385, 947, 1396, 728, 927]	$4,000,000 
LeBron James	SF	['MIA', 'MIA', 'MIA', 'MIA', 'CLE', 'CLE']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[3145, 2514, 3167, 2987, 2556, 2903]	$30,963,450 
Leandro Barbosa	SG	['TOR', 'TOT, TOR, IND', 'BOS', 'PHO', 'GSW', 'GSW']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[959, 1802, 321, 211, 662, 633]	$4,000,000 
Lou Amundson	PF	['GSW', 'IND', 'TOT, MIN, CHI, NOH', 'TOT, NOP, CHI', 'TOT, CLE, NYK', 'NYK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[425, 475, 404, 210, 1218, 111]	$1,551,659 
Lou Williams	SG	['PHI', 'PHI', 'ATL', 'ATL', 'TOR', 'LAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1390, 1332, 750, 916, 1554, 1338]	$7,000,000 
Luc Mbah a Moute	PF	['MIL', 'MIL', 'MIL', 'TOT, SAC, MIN', 'PHI', 'LAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1040, 612, 684, 820, 1097, 461]	$2,203,000 
Lucas Nogueira	C	['TOR', 'TOR']	['2014-15', '2015-16']	[18, 131]	$1,921,320 
Luis Scola	PF	['HOU', 'HOU', 'PHO', 'IND', 'IND', 'TOR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2088, 1499, 1747, 1032, 1365, 1095]	$5,000,000 
Luke Babbitt	SF	['POR', 'POR', 'POR', 'NOP', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[68, 300, 407, 290, 393, 523]	$1,227,000 
Luol Deng	SF	['CHI', 'CHI', 'CHI', 'TOT, CHI, CLE', 'MIA', 'MIA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2106, 1331, 1904, 3024, 1501, 1516]	$18,000,000 
Manu Ginobili	SG	['SAS', 'SAS', 'SAS', 'SAS', 'SAS', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2058, 679, 1141, 1281, 1175, 856]	$14,000,000 
Marc Gasol	C	['MEM', 'MEM', 'MEM', 'MEM', 'MEM', 'MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1784, 1797, 2129, 1522, 2375, 1421]	$21,165,675 
Marcelo Huertas	PG	['LAL']	['2015-16']	[462]	$1,500,000 
Marcin Gortat	C	['TOT, ORL, PHO', 'PHO', 'PHO', 'WAS', 'WAS', 'WAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[3128, 1792, 1310, 2009, 1874, 1881]	$12,000,000 
Marco Belinelli	SG	['NOH', 'NOH', 'CHI', 'SAS', 'SAS', 'SAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1046, 1037, 958, 1278, 792, 899]	$6,333,333 
Marcus Morris	PF	['HOU', 'TOT, HOU, PHO', 'PHO', 'PHO', 'DET']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[59, 1846, 1198, 1369, 1686]	$4,625,000 
Marcus Smart	PG	['BOS', 'BOS']	['2014-15', '2015-16']	[980, 1027]	$3,578,880 
Marcus Thornton	SG	['TOT, NOH, SAC', 'SAC', 'SAC', 'TOT, SAC, BRK', 'TOT, BOS, PHO', 'TOT, HOU, WAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2612, 1237, 1185, 1960, 1018, 1650]	$1,315,448 
Mario Hezonja	SF	['ORL']	['2015-16']	[722]	$3,909,840 
Markieff Morris	PF	['PHO', 'PHO', 'PHO', 'PHO', 'TOT, PHO, WAS']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[824, 1211, 1716, 1926, 2396]	$7,400,000 
Marreese Speights	C	['PHI', 'MEM', 'TOT, MEM, CLE', 'GSW', 'GSW', 'GSW']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[571, 924, 2176, 808, 1160, 799]	$1,403,611 
Martell Webster	SF	['MIN', 'MIN', 'WAS', 'WAS', 'WAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15']	[632, 534, 1282, 1076, 155]	$830,000 
Marvin Williams	SF	['ATL', 'ATL', 'UTA', 'UTA', 'CHO', 'CHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1072, 970, 884, 1047, 1108, 1652]	$12,250,000 
Mason Plumlee	C	['BRK', 'BRK', 'POR']	['2013-14', '2014-15', '2015-16']	[915, 1325, 1602]	$2,328,530 
Matt Barnes	SF	['LAL', 'LAL', 'LAC', 'LAC', 'LAC', 'MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[658, 971, 1366, 1041, 1210, 1355]	$6,125,000 
Matthew Dellavedova	SG	['CLE', 'CLE', 'CLE']	['2013-14', '2014-15', '2015-16']	[627, 614, 1005]	$9,607,500 
Maurice Harkless	SF	['ORL', 'ORL', 'ORL', 'POR']	['2012-13', '2013-14', '2014-15', '2015-16']	[1091, 997, 303, 867]	$8,988,764 
Metta World Peace	SF	['LAL', 'LAL', 'LAL', 'NYK', 'LAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2015-16']	[1209, 878, 1479, 228, 310]	$1,551,659 
Meyers Leonard	C	['POR', 'POR', 'POR', 'POR']	['2012-13', '2013-14', '2014-15', '2015-16']	[665, 224, 594, 866]	$9,213,484 
