player	pos	tm	season	perf	salary
Arinze Onuaku	PF	['TOT, NOP, CLE', 'MIN']	['2013-14', '2014-15']	[26, 54]	$440,078 
Aron Baynes	C	['SAS', 'SAS', 'SAS', 'DET']	['2012-13', '2013-14', '2014-15', '2015-16']	[76, 311, 787, 955]	$6,500,000 
Arron Afflalo	SG	['DEN', 'DEN', 'ORL', 'ORL', 'TOT, DEN, POR', 'NYK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1280, 1253, 1415, 1732, 2686, 1272]	$12,500,000 
Austin Rivers	SG	['NOH', 'NOP', 'TOT, NOP, LAC', 'LAC']	['2012-13', '2013-14', '2014-15', '2015-16']	[574, 796, 1668, 818]	$11,000,000 
Avery Bradley	PG	['BOS', 'BOS', 'BOS', 'BOS', 'BOS', 'BOS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[74, 666, 687, 1180, 1435, 1560]	$8,269,663 
Axel Toupane	SF	['DEN']	['2015-16']	[129]	$51,449 
Ben McLemore	SG	['SAC', 'SAC', 'SAC']	['2013-14', '2014-15', '2015-16']	[1004, 1335, 721]	$4,008,882 
Beno Udrih	PG	['SAC', 'MIL', 'TOT, MIL, ORL', 'TOT, NYK, MEM', 'MEM', 'TOT, MEM, MIA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1699, 638, 1834, 710, 933, 710]	$1,551,659 
Bismack Biyombo	C	['CHA', 'CHA', 'CHA', 'CHO', 'TOR']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[786, 1092, 649, 792, 1219]	$17,000,000 
Blake Griffin	PF	['LAC', 'LAC', 'LAC', 'LAC', 'LAC', 'LAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[3031, 2247, 2363, 2915, 2277, 1175]	$20,140,838 
Boban Marjanovic	C	['SAS']	['2015-16']	[518]	$7,000,000 
Bobby Portis	PF	['CHI']	['2015-16']	[818]	$1,453,680 
Bojan Bogdanovic	SF	['BRK', 'BRK']	['2014-15', '2015-16']	[946, 1160]	$3,730,653 
Boris Diaw	PF	['CHA', 'TOT, CHA, SAS', 'SAS', 'SAS', 'SAS', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1629, 1594, 864, 1220, 1222, 844]	$7,000,000 
Bradley Beal	SG	['WAS', 'WAS', 'WAS', 'WAS']	['2012-13', '2013-14', '2014-15', '2015-16']	[1117, 1726, 1368, 1261]	$22,116,750 
Brandan Wright	PF	['TOT, GSW, NJN', 'DAL', 'DAL', 'DAL', 'TOT, DAL, BOS, PHO', 'MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[512, 591, 907, 852, 2032, 142]	$5,700,000 
Brandon Bass	PF	['ORL', 'BOS', 'BOS', 'BOS', 'BOS', 'LAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1317, 1181, 1238, 1473, 1358, 878]	$1,551,659 
