player,pos,salary,pred_perf
Dwight Powell,PF,"$8,375,000 ",521
Dwyane Wade,SG,"$23,200,000 ",1936.166667
E'Twaun Moore,PG,"$8,081,363 ",556.4
Ed Davis,PF,"$6,666,667 ",1300.5
Elfrid Payton,PG,"$2,613,600 ",1505.5
Elliot Williams,SG,"$250,000 ",205.5
Elton Brand,PF,"$1,000,000 ",967.8333333
Emmanuel Mudiay,PG,"$3,241,800 ",1359
Enes Kanter,C,"$17,145,838 ",1652
Eric Bledsoe,PG,"$14,000,000 ",1103
Eric Gordon,SG,"$12,385,364 ",1006.833333
Ersan Ilyasova,PF,"$8,400,000 ",1427.166667
Evan Fournier,SG,"$17,000,000 ",927.25
Evan Turner,SG,"$16,393,443 ",1745
Festus Ezeli,C,"$7,400,000 ",527
Frank Kaminsky,C,"$2,730,000 ",1062
Gal Mekel,PG,"$315,760 ",78.5
Garrett Temple,PG-SG,"$8,000,000 ",464.8
Gary Harris,SG,"$1,655,880 ",802.5
Gary Neal,SG,"$72,193 ",998.8333333
George Hill,PG,"$8,000,000 ",1269.833333
Gerald Green,SF,"$1,410,598 ",949.8
Gerald Henderson,SG,"$9,000,000 ",1246
Giannis Antetokounmpo,SF,"$2,995,421 ",1694.333333
Glenn Robinson,SG-SF,"$1,050,500 ",255.5
Goran Dragic,PG,"$15,890,000 ",2022.833333
Gordon Hayward,SF,"$16,073,140 ",1578.5
Gorgui Dieng,C,"$2,348,783 ",1264
Greg Monroe,C,"$17,100,000 ",1953.5
Greivis Vasquez,SG,"$4,347,826 ",1201.833333
Harrison Barnes,SF,"$22,116,750 ",1231.25
Hassan Whiteside,C,"$22,116,750 ",834
Henry Sims,C,"$75,000 ",618.5
Hollis Thompson,SF,"$442,126 ",941.6666667
Hollis Thompson,SF,"$59,747 ",941.6666667
Ian Clark,SG,"$1,015,696 ",209.6666667
Ian Mahinmi,C,"$15,944,154 ",720.3333333
Iman Shumpert,PG,"$9,700,000 ",948.4
Isaiah Canaan,PG,"$1,015,696 ",815.3333333
Isaiah Thomas,PG,"$6,587,132 ",2006.4
Ish Smith,PG,"$6,000,000 ",1070
J.J. Barea,PG,"$4,096,950 ",1037.5
J.J. Redick,SG,"$7,377,500 ",1402.5
J.R. Smith,SF,"$12,800,000 ",1610.833333
JaMychal Green,PF,"$980,431 ",614
JaVale McGee,C,"$1,403,611 ",1016.5
Jabari Parker,PF,"$5,374,320 ",1027
Jae Crowder,SF,"$6,286,408 ",1275.75
